,IDpol,Year,Damage,Fire,Other,Theft,TPL,Windscreen
85,1005801.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
86,1006802.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
87,1006822.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
88,1006822.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
89,1006834.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
90,1006912.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
91,1006914.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
92,1007002.101b,2003.0,0.0,0.0,0.0,0.0,0.0,2.0
93,1007005.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
94,1007019.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
95,1007037.100c,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
96,1007039.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
97,1007261.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
98,1007385.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
99,1007397.102a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
100,1007418.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
101,1007428.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
102,1007436.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
103,1007557.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
104,1007582.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
105,1007609.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
106,1007617.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
107,1007633.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
108,1007648.100a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
109,1007648.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1007654.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
111,1007655.100d,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
112,1007790.100c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
113,1009102.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
114,1009103.100a,2003.0,2.0,0.0,0.0,0.0,1.0,0.0
115,1009204.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
116,1009221.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
117,1009295.100a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
118,1009332.100a,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
119,1009398.100a,2003.0,1.0,0.0,0.0,0.0,1.0,0.0
120,1009521.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
121,1009544.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
122,1009563.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
123,1009629.100a,2003.0,1.0,0.0,0.0,0.0,1.0,0.0
124,1009682.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
125,10100005.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
126,10100048.101a,2003.0,1.0,0.0,0.0,0.0,1.0,0.0
127,10100075.101a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
128,10100078.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
129,10100096.101a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
130,10100101.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
131,10100125.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
132,10100142.101a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
133,10100145.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
134,10100157.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
135,10100159.101a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
136,10100159.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
137,10100165.103c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
138,10100330.101b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
139,10100429.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
140,1010730.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
141,1010832.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
142,1010973.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
143,1011037.100a,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
144,1011240.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
145,1011299.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
146,1011449.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
147,10200036.101a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
148,10200036.101b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
149,10200118.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
150,10200129.101c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
151,10200139.103a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
152,10200364.101a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
153,10200372.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
154,10200411.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
155,10200425.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
156,10200535.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
157,10200537.101b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
158,156.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
159,160.104b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
160,17.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
161,186.102a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
162,186.102b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
163,189.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
164,195.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
165,20.102a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
166,20100009.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
167,20100049.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
168,20100114.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
169,20100120.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
170,20100120.10b,2003.0,0.0,0.0,0.0,1.0,1.0,0.0
171,20100140.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
172,20100157.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
173,20100162.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
174,20100162.10c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
175,20100209.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
176,20100218.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
177,20100219.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
178,20100312.100a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
179,20100324.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
180,20100366.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
181,20100389.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
182,20100433.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
183,20100482.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
184,20100490.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
185,20200005.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
186,20200029.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
187,20200241.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
188,20200251.10a,2003.0,1.0,0.0,1.0,0.0,1.0,0.0
189,20200297.102b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
190,20200602.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
191,20200711.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
192,20200912.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
193,212.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
194,216.102a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
195,23.101a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
196,233.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
197,266.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
198,288.101b,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
199,30100030.101a,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
200,30100052.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
201,30100061.101b,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
202,30100121.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
203,30100217.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
204,30200066.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
205,30200196.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
206,30200463.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
207,38.102a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
208,4.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
209,4.10a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
210,40100087.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
211,40100153.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
212,40100295.101b,2003.0,0.0,0.0,0.0,0.0,1.0,2.0
213,40100296.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
214,40100375.101c,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
215,40100385.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
216,40200015.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
217,40200078.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
218,40200078.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
219,40200104.101a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
220,40200187.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
221,40200210.102a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
222,40200260.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
223,40200263.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
224,40200270.100c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
225,40200408.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
226,40200668.101a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
227,40200973.100b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
228,40201170.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
229,40201471.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
230,40202177.101c,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
231,40202177.101d,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
232,40202576.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
233,41.10Aa,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
234,450.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
235,50100003.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
236,50100016.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
237,50100019.104b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
238,50100028.100b,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
239,50100047.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
240,50100252.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
241,50100261.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
242,50200013.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
243,50200078.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
244,50200079.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
245,50200114.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
246,50200114.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
247,50200114.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
248,50200117.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
249,50200140.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
250,50200140.101b,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
251,50200323.101a,2003.0,0.0,0.0,1.0,0.0,1.0,0.0
252,50200387.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
253,50200670.101a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
254,50200804.103a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
255,50200824.101b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
256,50200829.101d,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
257,50200836.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
258,50200843.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
259,557.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
260,571.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
261,576.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
262,60100028.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
263,60100035.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
264,60100036.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
265,60100036.10b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
266,60100041.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
267,60100124.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
268,60100130.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
269,60100350.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
270,60100379.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
271,60100379.101b,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
272,60100422.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
273,60100431.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
274,60200013.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
275,60200030.10b,2003.0,1.0,0.0,1.0,0.0,0.0,0.0
276,60200041.10a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
277,60200072.100b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
278,60200077.10c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
279,60200149.10b,2003.0,1.0,0.0,0.0,0.0,1.0,0.0
280,60200198.10a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
281,60200199.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
282,60200214.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
283,60200217.10a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
284,60200225.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
285,60200298.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
286,70100046.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
287,70100061.102a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
288,70100084.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
289,70100099.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
290,70100150.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
291,70100204.101b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
292,70100206.101a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
293,70200016.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
294,70200049.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
295,70200066.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
296,70200073.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
297,70200083.102a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
298,70200102.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
299,70200133.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
300,70200358.100a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
301,70200385.102a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
302,70200392.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
303,70200393.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
304,70200822.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
305,70200824.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
306,70200828.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
307,70200830.101a,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
308,70200837.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
309,70200914.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
310,70200925.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
311,70201117.101a,2003.0,0.0,0.0,0.0,0.0,0.0,2.0
312,70201421.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
313,70201513.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
314,70201516.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
315,70201517.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
316,70201526.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
317,70201617.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
318,70202111.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
319,70202812.100c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
320,70202920.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
321,70202921.10b,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
322,70203113.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
323,70203526.10a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
324,70203714.100a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
325,70205516.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
326,70205518.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
327,70205518.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
328,70205919.101c,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
329,70206016.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
330,70206219.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
331,70206322.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
332,70207520.102b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
333,80100007.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
334,80100008.102a,2003.0,0.0,0.0,1.0,0.0,0.0,0.0
335,80100013.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
336,80100017.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
337,80100017.10d,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
338,80100018.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
339,80100030.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
340,80100041.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
341,80100061.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
342,80100062.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
343,80100089.101a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
344,80100135.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
345,80100135.10b,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
346,80100146.10b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
347,80100161.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
348,80100161.10c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
349,80100176.102b,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
350,80100177.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
351,80100177.101c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
352,80100186.101d,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
353,80100187.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
354,80100208.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
355,80100210.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
356,80100221.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
357,80100230.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
358,80100244.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
359,80100253.103a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
360,80100260.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
361,80100263.10b,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
362,80100281.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
363,80200009.101c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
364,80200028.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
365,80200034.10b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
366,80200039.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
