,IDpol,OccurDate,Payment,IDclaim,Guarantee
59,90157488.100a,2003-01-05,284,7376,Windscreen
60,90157495.100a,2003-01-05,1136,7027,TPL
61,90158231.100a,2003-01-05,1749,6963,TPL
62,90165788.100a,2003-01-05,215,7221,TPL
63,90170929.100a,2003-01-05,422,7879,Windscreen
64,90173823.100a,2003-01-05,303,7247,Windscreen
65,90178461.101a,2003-01-05,598,7208,Windscreen
66,90185853.100a,2003-01-05,311,7384,Windscreen
67,90111488.101a,2003-01-06,897,7112,TPL
68,90125466.101a,2003-01-06,80,8115,Windscreen
69,90128272.101a,2003-01-06,73,6988,Damage
70,90135374.100b,2003-01-06,332,7360,Windscreen
71,90141326.101a,2003-01-06,381,7069,TPL
72,90147828.100b,2003-01-06,505,7680,Windscreen
73,90150417.100a,2003-01-06,80,7224,TPL
74,90167962.100c,2003-01-06,897,7277,TPL
75,60200149.10b,2003-01-07,0,7231,TPL
76,90103666.10a,2003-01-07,341,7244,Windscreen
77,90104028.102a,2003-01-07,149,7648,Windscreen
78,90128779.101a,2003-01-07,263,7640,Windscreen
79,90133683.100a,2003-01-07,1121,7655,TPL
80,90152186.100d,2003-01-07,2242,7169,Damage
81,90159936.100a,2003-01-07,64,7167,Windscreen
82,90167662.100a,2003-01-07,199,7687,Windscreen
83,90167813.100a,2003-01-07,164,7688,Windscreen
84,90170727.100a,2003-01-07,80,7647,Windscreen
85,1009102.100a,2003-01-08,284,7697,Windscreen
86,70200392.10a,2003-01-08,92,7172,Windscreen
87,80100187.10a,2003-01-08,164,7696,Windscreen
88,90106309.101a,2003-01-08,541,7639,Windscreen
89,90109037.101a,2003-01-08,412,7255,Windscreen
90,90109677.101a,2003-01-08,62,7686,Windscreen
91,90110995.101a,2003-01-08,1116,7085,Damage
92,90111865.101c,2003-01-08,263,7672,Windscreen
93,90112275.101a,2003-01-08,368,7665,Windscreen
94,90123583.101a,2003-01-08,567,7690,Windscreen
95,90126766.101a,2003-01-08,250,8373,Damage
96,90128972.101a,2003-01-08,1927,12448,Other
97,90131310.100a,2003-01-08,460,7145,Damage
98,90132486.105a,2003-01-08,897,10760,TPL
99,90146098.100a,2003-01-08,244,7177,Windscreen
100,90147537.100a,2003-01-08,2793,7428,TPL
101,90151453.100a,2003-01-08,148,7300,Damage
102,90152509.100a,2003-01-08,449,7243,TPL
103,90158564.100a,2003-01-08,388,7190,TPL
104,90158585.100a,2003-01-08,116,7685,Windscreen
105,90163077.100b,2003-01-08,1121,11947,TPL
106,90170006.100a,2003-01-08,2158,7198,TPL
107,90172760.100a,2003-01-08,283,7666,Windscreen
108,90187225.103a,2003-01-08,293,7658,Windscreen
109,90187346.100a,2003-01-08,77,7293,Windscreen
110,10200139.103a,2003-01-09,1495,7281,TPL
111,40202177.101c,2003-01-09,3659,7151,Damage
112,60100036.10a,2003-01-09,126,7649,Windscreen
113,80100135.10b,2003-01-09,148,7651,Windscreen
114,90133759.100b,2003-01-09,0,9822,TPL
115,90152120.100c,2003-01-09,1962,7552,TPL
116,90168363.101b,2003-01-09,946,7574,Damage
117,90187285.100b,2003-01-09,75,7663,Windscreen
118,90194015.100a,2003-01-09,12572,7326,TPL
119,1002745.100a,2003-01-10,34,7292,Damage
120,1007428.100a,2003-01-10,89,8132,Windscreen
121,20100162.10c,2003-01-10,712,7347,TPL
122,80100210.10b,2003-01-10,0,13795,TPL
123,90125259.101a,2003-01-10,441,8744,TPL
124,90129758.101a,2003-01-10,2857,9233,TPL
125,90148227.101a,2003-01-10,156,7218,Windscreen
126,90149381.101b,2003-01-10,897,7601,TPL
127,90153017.100a,2003-01-10,2298,7278,Damage
128,90166798.100a,2003-01-10,897,7294,TPL
129,90167713.100a,2003-01-10,835,7615,TPL
130,90178042.101a,2003-01-10,242,7682,Windscreen
131,90178426.100a,2003-01-10,209,7155,Windscreen
132,90180670.101a,2003-01-10,325,7318,TPL
133,90189843.100a,2003-01-10,91,7091,TPL
134,90190696.101a,2003-01-10,1121,7466,TPL
135,90194022.100b,2003-01-10,178,7228,TPL
136,1002122.100a,2003-01-11,1987,7171,TPL
137,90111159.101a,2003-01-11,1623,7698,Other
138,90132622.100a,2003-01-11,216,7222,TPL
139,90146202.101a,2003-01-11,106,12419,Windscreen
140,90153670.100a,2003-01-11,47,7330,TPL
141,90153670.100a,2003-01-11,729,8209,Windscreen
142,90161226.100a,2003-01-11,897,7391,TPL
143,90168039.100c,2003-01-11,1121,7333,TPL
144,90171826.100b,2003-01-11,106,7206,TPL
145,90182251.100a,2003-01-11,561,7082,TPL
146,90189478.100a,2003-01-11,262,7390,Windscreen
147,90122248.101a,2003-01-12,897,7320,TPL
148,90124687.101a,2003-01-12,1436,7232,TPL
149,90127517.101a,2003-01-12,897,7432,TPL
150,90128983.101b,2003-01-12,96,7575,Damage
151,90131426.100b,2003-01-12,238,8860,Windscreen
152,90147769.100a,2003-01-12,897,7306,TPL
153,90150908.105b,2003-01-12,897,7346,TPL
154,90156973.100a,2003-01-12,2667,7264,TPL
155,90165765.100a,2003-01-12,230,7240,Windscreen
156,90176434.100a,2003-01-12,3516,7322,Theft
157,90194083.100a,2003-01-12,443,8052,Windscreen
158,90102229.101a,2003-01-13,2461,7309,TPL
159,90108462.101a,2003-01-13,561,7358,TPL
160,90133050.101a,2003-01-13,368,7616,Windscreen
161,90159507.100a,2003-01-13,43,8475,Damage
162,90170273.100a,2003-01-13,90,7511,Windscreen
163,90179843.100c,2003-01-13,211,7421,TPL
164,90184862.100a,2003-01-13,368,7614,Windscreen
165,90186790.100a,2003-01-13,365,8234,Windscreen
166,90105371.100a,2003-01-14,85,7386,Windscreen
167,90111260.10a,2003-01-14,0,7379,Damage
168,90112657.101a,2003-01-14,225,7673,Windscreen
169,90117981.101b,2003-01-14,897,7401,TPL
170,90131438.103a,2003-01-14,897,7638,TPL
171,90133395.100a,2003-01-14,397,7652,Windscreen
172,90133761.100b,2003-01-14,283,7193,Windscreen
173,90152530.101a,2003-01-14,252,8947,Windscreen
174,90180755.100a,2003-01-14,327,7462,Windscreen
175,40200668.101a,2003-01-15,1888,7620,Theft
176,90113345.101a,2003-01-15,897,7479,TPL
177,90133921.100a,2003-01-15,1664,7983,Theft
178,90134601.100a,2003-01-15,70,7804,TPL
179,90144842.100a,2003-01-15,689,7679,Theft
180,90146684.100c,2003-01-15,1154,7433,TPL
181,90146699.100a,2003-01-15,2507,7976,Damage
182,90148856.102a,2003-01-15,317,8636,Windscreen
183,90155445.101a,2003-01-15,720,7488,TPL
184,90164619.100a,2003-01-15,2892,7517,TPL
185,90169081.100a,2003-01-15,984,8223,Damage
186,90172076.100a,2003-01-15,0,8426,TPL
187,90176702.100a,2003-01-15,897,7602,TPL
188,90178018.101d,2003-01-15,4468,7423,TPL
189,90180644.100a,2003-01-15,897,7861,TPL
190,90181481.100a,2003-01-15,146,7887,Windscreen
191,90182383.100b,2003-01-15,201,7626,TPL
192,90189773.100a,2003-01-15,5254,8551,Damage
193,50200843.100a,2003-01-16,108,7568,Theft
194,60200072.100b,2003-01-16,1531,7449,Damage
195,90102338.10a,2003-01-16,649,7396,Fire
196,90110355.10b,2003-01-16,58,7328,TPL
197,90128267.101b,2003-01-16,3253,7337,TPL
198,90128680.101a,2003-01-16,208,7911,Windscreen
199,90132617.101b,2003-01-16,79,7349,TPL
200,90145288.100a,2003-01-16,75,7460,Windscreen
201,90149571.100a,2003-01-16,1397,7436,TPL
202,90164517.100a,2003-01-16,897,11547,TPL
203,90164649.101a,2003-01-16,75,7689,Windscreen
204,90165749.100a,2003-01-16,0,7518,TPL
205,90184248.100a,2003-01-16,17231,8906,TPL
206,90187898.101a,2003-01-16,1925,7553,Damage
207,1009544.100a,2003-01-17,163,7660,TPL
208,30200463.100a,2003-01-17,1102,7344,Theft
209,90108307.100a,2003-01-17,2397,7345,TPL
210,90128700.102a,2003-01-17,2760,7405,TPL
211,90132375.100a,2003-01-17,58,7351,TPL
212,90160841.101a,2003-01-17,310,8151,Windscreen
213,90187923.100a,2003-01-17,2452,7737,TPL
214,20200251.10a,2003-01-18,534,7777,Other
215,20200251.10a,2003-01-18,267,8446,Damage
216,90105419.101a,2003-01-18,368,7387,Windscreen
217,90132420.100b,2003-01-18,1271,7336,Theft
218,90147645.100a,2003-01-18,3943,8279,Damage
219,90160812.100b,2003-01-18,1271,7600,Damage
220,90187347.100b,2003-01-18,10,7624,TPL
221,1007648.100b,2003-01-19,897,7579,TPL
222,90111342.10a,2003-01-19,525,9517,Other
223,90114442.101b,2003-01-19,195,8203,Windscreen
224,90129270.101b,2003-01-19,5303,7786,Damage
225,90129561.101b,2003-01-19,580,7286,Windscreen
226,90140555.100a,2003-01-19,23602,7410,TPL
227,90146578.100a,2003-01-19,7313,7494,TPL
228,90150436.100a,2003-01-19,137,7840,Windscreen
229,90153408.100a,2003-01-19,171,7284,Windscreen
230,90156713.100a,2003-01-19,379,8584,Windscreen
231,90156856.100a,2003-01-19,946,8358,TPL
232,90160425.100d,2003-01-19,421,8229,Windscreen
233,90177857.101a,2003-01-19,566,8010,Theft
234,90188848.100a,2003-01-19,116,9528,Windscreen
235,40100385.101a,2003-01-20,211,7741,Windscreen
236,80100089.101a,2003-01-20,302,7719,Windscreen
237,90107155.101b,2003-01-20,0,7613,TPL
238,90107155.101b,2003-01-20,1401,9699,Windscreen
239,90108741.101b,2003-01-20,183,8061,Windscreen
240,90110418.101a,2003-01-20,530,7661,Windscreen
241,90119358.101a,2003-01-20,900,7400,Theft
242,90124893.101a,2003-01-20,282,7650,TPL
243,90128579.101a,2003-01-20,47,7709,TPL
244,90132199.100a,2003-01-20,350,10999,Windscreen
245,90133582.100a,2003-01-20,457,8138,TPL
246,90134822.101a,2003-01-20,286,8237,Windscreen
247,90146475.100a,2003-01-20,72,8171,Windscreen
248,90148958.101a,2003-01-20,1053,7933,TPL
249,90148988.101d,2003-01-20,323,7668,Windscreen
250,90149496.100a,2003-01-20,360,7492,Windscreen
251,90149920.100a,2003-01-20,923,7512,TPL
252,90150402.100a,2003-01-20,533,7538,Windscreen
253,90151345.100a,2003-01-20,380,7489,Windscreen
254,90151846.100b,2003-01-20,1104,7590,Windscreen
255,90153013.100a,2003-01-20,63,7473,TPL
256,90153176.100a,2003-01-20,511,8096,Windscreen
257,90155438.100a,2003-01-20,490,7578,TPL
258,90161505.100c,2003-01-20,897,7507,TPL
259,90176354.100a,2003-01-20,390,10668,Windscreen
260,90181872.102a,2003-01-20,203,13747,Theft
261,90184864.102a,2003-01-20,405,7399,Windscreen
262,90186957.102a,2003-01-20,2452,7567,TPL
263,1003304.100a,2003-01-21,1540,7465,Theft
264,10200118.101a,2003-01-21,274,7713,TPL
265,80201143.101b,2003-01-21,956,8193,Damage
266,90101337.101a,2003-01-21,1225,7597,TPL
267,90103771.10a,2003-01-21,335,8335,Windscreen
268,90104348.100a,2003-01-21,257,8188,Theft
269,90120153.101a,2003-01-21,253,8228,Windscreen
270,90126067.101a,2003-01-21,276,8447,TPL
271,90131511.100a,2003-01-21,0,7850,Damage
272,90133818.100a,2003-01-21,105,7873,Windscreen
273,90134956.100a,2003-01-21,398,8233,Windscreen
274,90139011.101c,2003-01-21,215,8558,Windscreen
275,90145650.100b,2003-01-21,149,7918,Windscreen
276,90145921.100c,2003-01-21,542,7564,TPL
277,90153232.100a,2003-01-21,1509,9294,Damage
278,90165937.100a,2003-01-21,17,8062,TPL
279,90180931.100b,2003-01-21,391,7980,TPL
280,90182035.100a,2003-01-21,2534,7395,TPL
281,90182570.100a,2003-01-21,68,7667,TPL
282,90189878.100b,2003-01-21,2353,7882,TPL
283,90190637.100a,2003-01-21,96,7921,TPL
284,70205516.100a,2003-01-22,461,8702,Windscreen
285,90103328.102a,2003-01-22,875,7629,TPL
286,90128961.101a,2003-01-22,1548,7692,Damage
287,90148384.100a,2003-01-22,1549,7519,TPL
288,90152948.100a,2003-01-22,231,8693,Windscreen
289,90172111.100a,2003-01-22,110,7642,TPL
290,90178771.100a,2003-01-22,184,7762,Windscreen
291,90184773.100a,2003-01-22,1862,7715,Theft
292,80201160.101a,2003-01-23,0,7558,TPL
293,90100245.10a,2003-01-23,389,8126,Windscreen
294,90103679.100a,2003-01-23,1664,7644,Theft
295,90104129.103a,2003-01-23,157,8230,Windscreen
296,90118248.101b,2003-01-23,306,7749,Windscreen
297,90121952.101b,2003-01-23,277,8232,Windscreen
298,90125682.101a,2003-01-23,446,7769,TPL
299,90153766.100a,2003-01-23,231,8749,Windscreen
300,90157945.100a,2003-01-23,681,7759,Windscreen
301,90159362.101a,2003-01-23,2274,7570,Damage
302,90167784.100b,2003-01-23,1664,7836,Damage
303,90176292.100b,2003-01-23,264,7549,Windscreen
304,90177840.101a,2003-01-23,897,8986,TPL
305,1005076.100a,2003-01-24,897,7580,TPL
306,1007005.100b,2003-01-24,114,7702,Windscreen
307,40100295.101b,2003-01-24,363,8239,Windscreen
308,70200914.10b,2003-01-24,419,7914,Windscreen
309,90113382.100a,2003-01-24,125,7725,TPL
310,90116848.101b,2003-01-24,144,8296,TPL
311,90117859.101b,2003-01-24,376,7735,Windscreen
312,90119953.100b,2003-01-24,92,7547,Damage
313,90124885.101a,2003-01-24,3381,7717,Damage
314,90135398.100b,2003-01-24,897,8065,TPL
315,90135431.101a,2003-01-24,89,7705,Windscreen
316,90138227.100a,2003-01-24,343,7738,Theft
317,90151285.100a,2003-01-24,263,8333,Windscreen
318,90160837.100a,2003-01-24,290,8025,TPL
319,90166633.100a,2003-01-24,467,8030,Windscreen
320,90167308.100a,2003-01-24,225,7545,TPL
321,90172479.100a,2003-01-24,967,7700,Theft
322,90172981.100a,2003-01-24,313,7746,Windscreen
323,90176431.100a,2003-01-24,158,7978,TPL
324,90187884.100a,2003-01-24,48,7742,TPL
325,90109103.101a,2003-01-25,341,7962,TPL
326,90110950.102a,2003-01-25,97,8189,Damage
327,90125779.101a,2003-01-25,2862,7760,TPL
328,90145098.100b,2003-01-25,2452,7919,TPL
329,90145764.100a,2003-01-25,1060,8318,TPL
330,90151326.100a,2003-01-25,42,7710,Damage
331,90155136.100b,2003-01-25,110,8207,Windscreen
332,90156852.100a,2003-01-25,296,8113,Windscreen
333,90172981.100a,2003-01-25,442,7753,TPL
334,90185031.100a,2003-01-25,521,8076,TPL
335,90100938.10a,2003-01-26,374,7967,TPL
336,90125354.101a,2003-01-26,263,9412,Windscreen
337,90126290.101a,2003-01-26,117,8331,Windscreen
338,90127258.101a,2003-01-26,105,7754,TPL
339,90150167.100a,2003-01-26,699,12766,Windscreen
340,90153081.101a,2003-01-26,140,7846,Windscreen
341,90153259.100a,2003-01-26,1664,8005,Theft
342,90154842.100a,2003-01-26,1136,8187,TPL
343,90160528.100a,2003-01-26,199,7945,Windscreen
344,90175995.100b,2003-01-26,8567,7504,TPL
345,90187836.100a,2003-01-26,215,7758,Windscreen
346,90194131.100a,2003-01-26,602,7997,Theft
347,80201149.101a,2003-01-27,364,7844,Windscreen
348,90118450.101a,2003-01-27,449,7903,TPL
349,90127774.101a,2003-01-27,1743,7752,Damage
350,90132743.101a,2003-01-27,481,7726,TPL
351,90152939.100a,2003-01-27,732,7863,TPL
352,90154036.100b,2003-01-27,374,8019,Windscreen
353,90157711.100a,2003-01-27,96,8004,Windscreen
354,90172853.100a,2003-01-27,257,7871,Windscreen
355,90181434.100a,2003-01-27,1352,8026,TPL
356,1009221.100a,2003-01-28,386,7854,Windscreen
357,1009332.100a,2003-01-28,1121,10755,TPL
358,1009332.100a,2003-01-28,1121,12566,TPL
359,233.101a,2003-01-28,299,8035,Windscreen
360,90109134.100a,2003-01-28,1403,8152,Other
361,90124854.101a,2003-01-28,306,7748,Windscreen
362,90127099.101b,2003-01-28,269,7924,TPL
363,90133407.101c,2003-01-28,253,8036,Windscreen
364,90141453.100a,2003-01-28,542,8069,Fire
365,90144796.100d,2003-01-28,133,7796,TPL
366,90146643.101a,2003-01-28,649,7909,TPL
367,90148557.101a,2003-01-28,897,11549,TPL
368,90149570.101c,2003-01-28,897,7922,TPL
369,90168014.101a,2003-01-28,110,8424,Windscreen
370,90176025.101b,2003-01-28,307,7771,Windscreen
371,90180784.100c,2003-01-28,451,7543,Windscreen
372,90184926.100a,2003-01-28,1650,7822,TPL
373,90187195.100c,2003-01-28,314,9593,Windscreen
374,90192041.100a,2003-01-28,311,7985,Windscreen
375,90104529.101a,2003-01-29,746,8371,Damage
376,90124575.101b,2003-01-29,286,8418,Windscreen
377,90124788.101b,2003-01-29,373,7857,Windscreen
378,90125171.102a,2003-01-29,261,8944,Windscreen
379,90126067.101a,2003-01-29,388,7855,Windscreen
380,90128574.101a,2003-01-29,284,8502,Windscreen
381,90133260.101a,2003-01-29,562,7934,TPL
382,90133931.100c,2003-01-29,150,7884,Windscreen
383,90133998.100b,2003-01-29,1538,8250,Damage
384,90134055.100a,2003-01-29,897,7929,TPL
385,90141267.100a,2003-01-29,344,7913,TPL
386,90145989.101a,2003-01-29,164,8143,TPL
387,90146541.100a,2003-01-29,427,7900,Windscreen
388,90149817.100b,2003-01-29,1630,7904,Other
389,90151430.100a,2003-01-29,161,7917,Windscreen
390,90156473.100a,2003-01-29,331,8340,Windscreen
391,90156904.100b,2003-01-29,1209,7897,TPL
392,90159294.100a,2003-01-29,479,8195,Theft
393,90181195.100a,2003-01-29,333,7905,TPL
394,90186835.100a,2003-01-29,0,8246,Other
395,90186836.100a,2003-01-29,62,8043,TPL
396,90194422.100a,2003-01-29,1009,8457,Damage
397,90104450.102a,2003-01-30,229,8140,TPL
398,90108435.101f,2003-01-30,0,8634,TPL
399,90127521.101a,2003-01-30,291,7902,TPL
400,90134908.100a,2003-01-30,237,7766,Windscreen
401,90148561.100a,2003-01-30,2171,7952,TPL
402,90151557.100a,2003-01-30,1008,8014,TPL
403,90168122.100a,2003-01-30,233,8374,TPL
404,90180058.101b,2003-01-30,4149,8098,Damage
405,50100019.104b,2003-01-31,398,7984,Windscreen
406,90104527.101b,2003-01-31,80,8072,TPL
407,90105512.101a,2003-01-31,144,8338,Windscreen
408,90106797.10a,2003-01-31,897,10748,TPL
409,90106813.10a,2003-01-31,1676,8050,Damage
410,90110858.103b,2003-01-31,701,7892,TPL
411,90128256.101b,2003-01-31,897,7928,TPL
412,90129675.101b,2003-01-31,4903,10005,TPL
413,90158947.100a,2003-01-31,1595,8185,Damage
414,90167946.101a,2003-01-31,165,8450,Windscreen
415,90183850.100a,2003-01-31,595,7969,TPL
416,90193799.100a,2003-01-31,59,8256,Damage
417,90132854.100a,2003-02-01,1815,8135,Damage
418,90146048.100a,2003-02-01,897,8048,TPL
419,90153748.100a,2003-02-01,1226,8227,Other
420,90169894.100b,2003-02-01,386,13303,Windscreen
421,90178975.100b,2003-02-01,230,8089,Windscreen
422,1007385.100a,2003-02-02,596,8208,Windscreen
423,90105225.102a,2003-02-02,1217,7972,TPL
424,90105917.10a,2003-02-02,610,8150,Windscreen
425,90108869.101a,2003-02-02,402,8082,TPL
426,90110407.101a,2003-02-02,555,8422,Theft
427,90127323.101a,2003-02-02,226,7958,Windscreen
428,90131540.100a,2003-02-02,301,8066,Windscreen
429,90134604.100c,2003-02-02,172,7993,Windscreen
430,90144870.101a,2003-02-02,233,8326,Windscreen
431,90145444.100a,2003-02-02,701,8127,Other
432,90148572.100a,2003-02-02,1153,8316,Damage
433,90155078.100a,2003-02-02,294,8455,Windscreen
434,90156023.101a,2003-02-02,1121,8205,TPL
435,90166392.101a,2003-02-02,704,8623,Windscreen
436,90175897.100a,2003-02-02,494,11379,Windscreen
437,10100330.101b,2003-02-03,0,8231,Damage
438,80200741.101b,2003-02-03,134,8384,Windscreen
439,90106908.10a,2003-02-03,1191,8021,TPL
440,90108689.101a,2003-02-03,897,8068,TPL
441,90109674.102a,2003-02-03,645,8095,TPL
442,90124660.101b,2003-02-03,337,8029,Windscreen
443,90125465.101a,2003-02-03,48,8124,Windscreen
444,90127786.101b,2003-02-03,549,7937,TPL
445,90130983.100a,2003-02-03,130,8325,Windscreen
446,90132175.100a,2003-02-03,311,9407,Windscreen
447,90134789.100a,2003-02-03,315,8122,Theft
448,90136374.100a,2003-02-03,298,8900,Windscreen
449,90145177.101b,2003-02-03,229,9336,Windscreen
450,90147661.100a,2003-02-03,112,8492,Windscreen
451,90148523.101a,2003-02-03,863,8265,Windscreen
452,90158014.100a,2003-02-03,179,8255,TPL
453,90179308.101a,2003-02-03,576,8008,Theft
454,90193820.100b,2003-02-03,86,8147,Windscreen
455,40202177.101d,2003-02-04,0,9263,TPL
456,90127107.102a,2003-02-04,897,9502,TPL
457,90133161.101a,2003-02-04,12692,8220,TPL
458,90145208.101b,2003-02-04,733,8274,TPL
459,90150855.100a,2003-02-04,201,8306,TPL
460,90164574.102a,2003-02-04,964,8538,TPL
461,90174235.100a,2003-02-04,78,8396,Windscreen
462,90180927.100a,2003-02-04,2452,8168,TPL
463,90183998.100a,2003-02-04,25,9643,Other
464,90104152.10a,2003-02-05,148,8888,Windscreen
465,90118550.101b,2003-02-05,210,8131,TPL
466,90132566.100b,2003-02-05,255,9462,Windscreen
467,90144893.100c,2003-02-05,96,8436,Damage
468,90148407.100b,2003-02-05,241,8403,Windscreen
469,90154176.100a,2003-02-05,214,8245,TPL
470,90157032.100a,2003-02-05,336,8880,Windscreen
471,90157995.100e,2003-02-05,160,8248,TPL
472,90180161.100a,2003-02-05,2452,8648,TPL
473,90182610.100b,2003-02-05,897,8764,TPL
474,90184030.100a,2003-02-05,561,8217,TPL
475,90194771.100a,2003-02-05,203,8609,Windscreen
476,90119164.101a,2003-02-06,167,8876,Windscreen
477,90127898.100a,2003-02-06,4155,8291,TPL
478,90148378.100a,2003-02-06,228,8103,Windscreen
479,90149202.100a,2003-02-06,546,8501,Damage
480,90151856.101a,2003-02-06,897,8314,TPL
481,90154329.100c,2003-02-06,2333,8266,TPL
482,90155070.100a,2003-02-06,1523,8177,TPL
483,90179846.100a,2003-02-06,83,8348,Windscreen
484,90187950.100b,2003-02-06,1121,9589,TPL
485,90193882.100b,2003-02-06,414,8198,Windscreen
486,1007037.100c,2003-02-07,715,8264,Damage
487,90106254.10a,2003-02-07,1059,8257,TPL
488,90108433.100b,2003-02-07,0,8399,Damage
489,90109524.101a,2003-02-07,240,8846,Windscreen
490,90132577.100a,2003-02-07,449,8385,TPL
491,90145933.101a,2003-02-07,165,8954,TPL
492,90149833.100a,2003-02-07,2552,8218,TPL
493,90180356.100a,2003-02-07,93,8310,TPL
494,90180644.100a,2003-02-07,301,8387,Windscreen
495,90180858.101a,2003-02-07,897,8289,TPL
496,90187961.100d,2003-02-07,45,8366,TPL
497,90194713.100a,2003-02-07,583,8552,Theft
498,90108241.101a,2003-02-08,1676,8301,TPL
499,90108681.101a,2003-02-08,127,8312,Windscreen
500,90127483.101a,2003-02-08,148,9418,Windscreen
501,90129062.101b,2003-02-08,261,8867,Windscreen
502,90129771.100a,2003-02-08,16530,8494,TPL
503,90139179.101c,2003-02-08,594,8476,TPL
504,90152027.101a,2003-02-08,442,12958,Damage
505,90155176.100a,2003-02-08,138,8515,Windscreen
506,90158392.100a,2003-02-08,1240,8559,Damage
507,90181031.101b,2003-02-08,312,8522,Windscreen
508,90185089.100a,2003-02-08,897,8383,TPL
509,10200537.101b,2003-02-09,2345,8283,Damage
510,90126118.101b,2003-02-09,56,8442,Windscreen
511,90132534.101a,2003-02-09,217,8598,TPL
512,90135338.102c,2003-02-09,142,8540,TPL
513,90150209.101a,2003-02-09,1539,8308,TPL
514,90154479.100a,2003-02-09,419,8676,TPL
515,90156582.100a,2003-02-09,113,8444,Windscreen
516,90165973.100a,2003-02-09,98,8601,TPL
517,90179681.100a,2003-02-09,704,8647,TPL
518,90180966.100a,2003-02-09,897,12581,TPL
519,90184765.100a,2003-02-09,0,8491,TPL
520,90184955.100a,2003-02-09,113,8402,Damage
521,90191096.100b,2003-02-09,673,8771,TPL
522,90103504.10a,2003-02-10,897,8321,TPL
523,90111380.100a,2003-02-10,78,9016,TPL
524,90122983.101a,2003-02-10,0,8753,TPL
525,90126061.101a,2003-02-10,22,8493,TPL
526,90127360.101a,2003-02-10,75,8882,Windscreen
527,90127673.101a,2003-02-10,605,8363,Windscreen
528,90127779.101b,2003-02-10,0,8506,TPL
529,90130923.100a,2003-02-10,1268,8482,Theft
530,90132380.100b,2003-02-10,1875,8282,TPL
531,90132650.100a,2003-02-10,897,8380,TPL
532,90145749.100a,2003-02-10,252,8610,Windscreen
533,90147408.100a,2003-02-10,78,8347,TPL
534,90149570.100a,2003-02-10,588,8637,TPL
535,90149987.102a,2003-02-10,298,9227,Windscreen
536,90175960.100a,2003-02-10,897,8565,TPL
